heavy_atom_idx,degree,hybridization,in_ring,is_aromatic,formal_charge,partial_charge,num_H_neighbors,num_heavy_neighbors,neighbor_atomic_nums,neighbor_C_count,neighbor_O_count,neighbor_N_count,neighbor_S_count,neighbor_Halogen_count,dist_to_O,dist_to_N,dist_to_aromatic,in_symmetric_env,ppm,nb_atoms,multiplicity,couplings
0,4,SP3,0,0,0,0.03592063905613407,3,1,8,0,1,0,0,0,1,9,3,43,58.31,1,s,[]
2,4,SP3,0,0,0,0.0759350372984667,2,2,"8,6",1,1,0,0,0,1,7,1,45,60.59,1,s,[]
3,3,SP2,1,1,0,0.03896333613598391,0,3,"6,6,6",3,0,0,0,0,2,6,1,39,112.6,1,s,[]
4,3,SP2,1,1,0,0.21793527517724437,0,3,"6,6,8",2,1,0,0,0,1,5,1,34,141.7,1,s,[]
5,3,SP2,0,0,0,0.3746709230380378,0,3,"6,8,8",1,2,0,0,0,1,4,1,32,159.60000000000002,1,s,[]
8,4,SP3,0,0,0,0.17005935733484986,2,2,"8,6",1,1,0,0,0,1,2,3,44,65.2,1,s,[]
9,3,SP2,0,0,0,0.25779933555316736,0,3,"6,8,7",1,1,1,0,0,1,1,4,33,169.1,1,s,[]
12,4,SP3,1,0,0,0.03170060623392419,1,3,"7,6,6",2,0,1,0,0,3,1,6,53,56.2,1,s,[]
13,4,SP3,1,0,0,-0.0325004833745855,2,2,"6,6",2,0,0,0,0,4,2,7,50,31.1,1,s,[]
14,4,SP3,1,0,0,-0.05107965016581445,2,2,"6,6",2,0,0,0,0,5,3,8,46,21.85,1,s,[]
15,4,SP3,1,0,0,-0.050304384904126115,2,2,"6,6",2,0,0,0,0,6,4,9,48,32.9,1,s,[]
16,4,SP3,1,0,0,-0.039744704287054684,1,3,"6,6,6",3,0,0,0,0,5,3,8,51,39.27,1,s,[]
17,4,SP3,0,0,0,-0.062178237230221506,3,1,6,1,0,0,0,0,6,4,9,47,21.13,1,s,[]
18,4,SP3,1,0,0,-0.021277424603276668,1,3,"6,6,6",3,0,0,0,0,4,2,7,52,36.650000000000006,1,s,[]
19,4,SP3,0,0,0,-0.06029341395042307,3,1,6,1,0,0,0,0,5,3,8,49,14.8,1,s,[]
21,3,SP2,1,1,0,0.13507465215829592,0,3,"8,6,6",2,1,0,0,0,1,7,1,40,154.4,1,s,[]
22,3,SP2,1,1,0,-0.018657663095275414,1,2,"6,6",2,0,0,0,0,2,8,1,37,112.3,1,s,[]
23,3,SP2,1,1,0,-0.05851758656403925,1,2,"6,6",2,0,0,0,0,3,9,1,35,126.8,1,s,[]
24,3,SP2,1,1,0,-0.06138700026221754,1,2,"6,6",2,0,0,0,0,4,9,1,36,123.6,1,s,[]
25,3,SP2,1,1,0,-0.050726498059098235,1,2,"6,6",2,0,0,0,0,3,8,1,38,121.6,1,s,[]
26,3,SP2,1,1,0,0.026715273731706644,0,3,"6,6,6",3,0,0,0,0,2,7,1,41,128.0,1,s,[]
0,4,SP3,0,0,0,-0.04509892461248897,3,1,6,1,0,0,0,0,3,-1,-1,11,14.0,1,s,[]
1,4,SP3,0,0,0,0.10927644817541353,1,3,"6,6,6",3,0,0,0,0,2,-1,-1,12,45.6,1,s,[]
2,3,SP2,0,0,0,0.13342587943612574,1,2,"6,8",1,1,0,0,0,1,-1,-1,9,193.1,1,s,[]
4,3,SP2,0,0,0,0.31294252448406973,0,3,"6,8,8",1,2,0,0,0,1,-1,-1,10,177.1,1,s,[]
0,4,SP3,0,0,0,0.07750710185433696,3,1,8,0,1,0,0,0,1,8,2,39,55.5,1,s,[]
2,3,SP2,1,1,0,0.11909710930686708,0,3,"8,6,6",2,1,0,0,0,1,6,1,33,159.89,1,s,[]
3,3,SP2,1,1,0,-0.019936611314167095,1,2,"6,6",2,0,0,0,0,2,7,1,27,118.05,1,s,[]
4,3,SP2,1,1,0,-0.057849935815279835,1,2,"6,6",2,0,0,0,0,3,6,1,26,129.53,1,s,[]
5,3,SP2,1,1,0,-0.05079354308667661,1,2,"6,6",2,0,0,0,0,3,5,1,29,126.92,1,s,[]
6,3,SP2,1,1,0,0.025588282947266765,0,3,"6,6,6",3,0,0,0,0,2,4,1,36,137.19,1,s,[]
7,3,SP2,0,0,0,0.1871757629530303,0,3,"6,8,6",2,1,0,0,0,1,3,1,23,187.05,1,s,[]
9,3,SP2,0,0,0,0.004729347548603483,1,2,"6,6",2,0,0,0,0,2,2,2,24,114.6,1,s,[]
10,3,SP2,0,0,0,0.011695901848835101,0,3,"6,6,7",2,0,1,0,0,3,1,3,25,159.4,1,s,[]
11,4,SP3,0,0,0,-0.02464547871454771,3,1,6,1,0,0,0,0,4,2,4,41,19.9,1,s,[]
