heavy_atom_idx,num_H,heavy_atomic_num,heavy_degree,heavy_hybridization,heavy_in_ring,heavy_is_aromatic,heavy_formal_charge,heavy_partial_charge,num_heavy_neighbors,neighbor_atomic_nums,num_H_neighbors,neighbor_H_counts_per_atom,num_couplable_H_neighbors,distance_to_nearest_non_equivalent_H,in_symmetric_env,H_coupling_type,is_in_CH3,is_in_CH2,is_terminal_CH,ppm,nb_atoms,multiplicity,couplings
0,3,6,4,SP3,0,0,0,0.03592063905613407,1,8,3,0,2,2,43,geminal,0,0,0,3.2260000000000004,3.0,,[]
2,2,6,4,SP3,0,0,0,0.0759350372984667,2,"8,6",2,"0,0",4,2,45,geminal,0,0,0,4.747,1.0,,[]
8,2,6,4,SP3,0,0,0,0.17005935733484986,2,"8,6",2,"0,0",2,2,44,geminal,0,0,0,4.817,1.0,,[]
11,1,7,3,SP2,0,0,0,-0.3501302177499181,2,"6,6",1,"0,1",11,1,42,none,0,0,0,,,,[]
12,1,6,4,SP3,1,0,0,0.03170060623392419,3,"7,6,6",1,"1,2,1",13,1,53,none,0,0,0,3.587,1.0,td,"[10.26, 2.79]"
13,2,6,4,SP3,1,0,0,-0.0325004833745855,2,"6,6",2,"1,2",8,1,50,none,0,0,0,1.629,1.0,dtd,"[13.568, 10.26, 2.79]"
14,2,6,4,SP3,1,0,0,-0.05107965016581445,2,"6,6",2,"2,2",7,1,46,none,0,0,0,1.486,1.0,dquint,"[12.886, 2.79]"
15,2,6,4,SP3,1,0,0,-0.050304384904126115,2,"6,6",2,"2,1",10,1,48,none,0,0,0,1.316,1.0,ddt,"[11.639, 10.26, 2.79]"
16,1,6,4,SP3,1,0,0,-0.039744704287054684,3,"6,6,6",1,"2,3,1",9,1,51,none,0,0,0,1.579,1.0,qq,"[6.937, 2.7900000000000005]"
17,3,6,4,SP3,0,0,0,-0.062178237230221506,1,6,3,1,9,1,47,none,0,0,0,0.896,3.0,d,[6.937]
18,1,6,4,SP3,1,0,0,-0.021277424603276668,3,"6,6,6",1,"1,3,1",10,1,52,none,0,0,0,1.561,1.0,dqd,"[10.26, 6.934, 2.79]"
19,3,6,4,SP3,0,0,0,-0.06029341395042307,1,6,3,1,10,1,49,none,0,0,0,0.975,3.0,d,[6.934]
22,1,6,3,SP2,1,0,0,-0.018657663095275414,2,"6,6",1,"0,1",2,1,36,none,0,0,0,7.645,1.0,ddd,"[7.985, 1.123, 0.455]"
23,1,6,3,SP2,1,0,0,-0.05851758656403925,2,"6,6",1,"1,1",1,1,34,none,0,0,0,7.497,1.0,ddd,"[7.985, 7.119, 1.527]"
24,1,6,3,SP2,1,0,0,-0.06138700026221754,2,"6,6",1,"1,1",1,1,35,none,0,0,0,7.365,1.0,ddd,"[8.069, 7.119, 1.123]"
25,1,6,3,SP2,1,0,0,-0.050726498059098235,2,"6,6",1,"1,0",4,1,37,none,0,0,0,8.507,1.0,ddd,"[8.069, 1.527, 0.455]"
0,3,6,4,SP3,0,0,0,-0.04509892461248897,1,6,3,1,2,1,11,none,0,0,0,1.361,3.0,d,[6.261]
1,1,6,4,SP3,0,0,0,0.10927644817541353,3,"6,6,6",1,"3,1,0",1,1,12,none,0,0,0,3.853,1.0,dq,"[8.694, 6.261]"
2,1,6,3,SP2,0,0,0,0.13342587943612574,2,"6,8",1,"1,0",4,1,9,none,0,0,0,9.674,1.0,d,[8.694]
6,1,8,2,SP2,0,0,0,-0.4807175508606875,1,6,1,0,5,2,8,geminal,0,0,0,,,,[]
2,1,8,2,SP2,0,0,0,-0.4812220654304515,1,6,1,0,4,2,13,geminal,0,0,0,,,,[]
3,2,6,4,SP3,0,0,0,0.04914638184920232,2,"6,6",2,"0,2",3,1,21,none,0,0,0,2.542,2.0,t,[7.991]
4,2,6,4,SP3,0,0,0,-0.018546015068739447,2,"6,6",2,"2,0",6,1,22,none,0,0,0,2.229,2.0,t,[7.991]
6,1,6,3,SP2,1,0,0,-0.06058708233080931,2,"6,6",1,"0,1",8,1,18,none,0,0,0,6.285,1.0,d,[1.918]
7,1,6,3,SP2,1,0,0,-0.0635563991727945,2,"6,6",1,"1,1",5,1,17,none,0,0,0,6.812,1.0,dd,"[10.904, 1.918]"
8,1,6,3,SP2,1,0,0,-0.053266307968839265,2,"6,6",1,"1,1",4,1,19,none,0,0,0,5.6,1.0,dd,"[10.904, 3.362]"
9,1,6,4,SP3,1,0,0,0.1021303720594936,3,"6,8,6",1,"1,1,1",5,1,23,none,0,0,0,4.184,1.0,dd,"[3.93, 3.362]"
10,1,8,2,SP3,0,0,0,-0.3859627608750407,1,6,1,1,4,1,14,none,0,0,0,,,,[]
11,1,6,4,SP3,1,0,0,0.10478668515428126,3,"6,8,6",1,"1,1,0",8,1,24,none,0,0,0,4.113,1.0,d,[3.93]
12,1,8,2,SP3,0,0,0,-0.38568697543313457,1,6,1,1,6,1,15,none,0,0,0,,,,[]
2,1,8,2,SP2,0,0,0,-0.4780723646727625,1,6,1,0,2,2,9,geminal,0,0,0,,,,[]
3,1,6,3,SP2,0,0,0,0.026597858154715277,2,"6,6",1,"0,1",3,1,14,none,0,0,0,6.764,1.0,d,[16.306]
4,1,6,3,SP2,0,0,0,-0.011161442534110975,2,"6,6",1,"1,0",3,1,15,none,0,0,0,7.181,1.0,d,[16.306]
7,2,6,4,SP3,0,0,0,0.10813623981011847,2,"6,6",2,"0,0",3,2,16,geminal,0,0,0,3.887,2.0,,[]
10,1,8,2,SP2,0,0,0,-0.4808982662490356,1,6,1,0,2,2,10,geminal,0,0,0,,,,[]
2,2,6,4,SP3,1,0,0,0.03417741613619088,2,"6,6",2,"0,2",1,1,44,none,0,0,0,2.706,1.0,ddd,"[17.663, 9.87, 4.19]"
3,2,6,4,SP3,1,0,0,0.00764915149530961,2,"6,6",2,"2,0",1,1,45,none,0,0,0,2.766,1.0,ddd,"[14.289, 4.19, 1.77]"
8,2,6,4,SP3,0,0,0,0.17058656362456898,2,"8,6",2,"0,0",1,3,43,vicinal,0,0,0,4.776,1.0,,[]
13,1,6,3,SP2,1,0,0,-0.03713573712793187,2,"6,6",1,"0,1",3,1,36,none,0,0,0,7.869,1.0,ddd,"[8.478, 1.18, 0.549]"
14,1,6,3,SP2,1,0,0,-0.06011232760427462,2,"6,6",1,"1,1",1,1,31,none,0,0,0,7.206,1.0,ddd,"[8.478, 7.672, 1.565]"
15,1,6,3,SP2,1,0,0,-0.06100121226221201,2,"6,6",1,"1,1",1,1,30,none,0,0,0,7.053,1.0,ddd,"[7.929, 7.672, 1.18]"
16,1,6,3,SP2,1,0,0,-0.04648064529053869,2,"6,6",1,"1,0",4,1,35,none,0,0,0,7.121,1.0,ddd,"[7.929, 1.565, 0.549]"
19,2,6,4,SP3,1,0,0,0.02328829826197563,2,"16,6",2,"0,1",3,1,46,none,0,0,0,3.754,1.0,dd,"[14.035, 10.08]"
20,1,6,4,SP3,1,0,0,0.0713899213713688,3,"6,6,7",1,"2,0,0",7,1,47,none,0,0,0,5.198,1.0,dd,"[10.08, 2.08]"
22,1,6,3,SP2,1,0,0,-0.056920525317461584,2,"6,6",1,"0,1",6,1,37,none,0,0,0,7.251,2.0,dtd,"[7.798, 1.3165, 0.547]"
23,1,6,3,SP2,1,0,0,-0.061915646733441576,2,"6,6",1,"1,1",3,1,32,none,0,0,0,7.29,2.0,tdd,"[7.7575, 1.849, 0.547]"
24,1,6,3,SP2,1,0,0,-0.062246125559054,2,"6,6",1,"1,1",2,1,29,none,0,0,0,7.254,1.0,tt,"[7.717, 1.301]"
25,1,6,3,SP2,1,0,0,-0.061915646733441576,2,"6,6",1,"1,1",3,1,33,none,0,0,0,7.29,2.0,tdd,"[7.7575, 1.849, 0.547]"
26,1,6,3,SP2,1,0,0,-0.056920525317461584,2,"6,6",1,"1,0",6,1,34,none,0,0,0,7.251,2.0,dtd,"[7.798, 1.3165, 0.547]"
28,1,7,3,SP2,1,0,0,-0.24661271454797729,2,"7,6",1,"0,0",4,2,41,geminal,0,0,0,,,,[]
0,1,6,3,SP2,1,0,0,0.11742325959382711,2,"7,7",1,"0,0",2,2,10,geminal,0,0,0,8.469,1.0,d,[1.513]
2,1,6,3,SP2,1,0,0,0.05561906890219395,2,"7,6",1,"0,0",5,2,12,geminal,0,0,0,7.806,1.0,d,[1.513]
4,1,7,3,SP2,1,0,0,-0.37903667624553106,2,"6,6",1,"0,2",4,1,15,none,0,0,0,,,,[]
5,2,6,4,SP3,1,0,0,0.032243946766748,2,"7,6",2,"1,2",2,1,17,none,0,0,0,3.141,2.0,ddd,"[13.135, 6.7, 2.7800000000000002]"
6,2,6,4,SP3,1,0,0,0.03351308743190919,2,"6,7",2,"2,1",1,1,16,none,0,0,0,3.605,1.0,ddd,"[12.978, 3.15, 2.41]"
7,1,7,3,SP2,1,0,0,-0.36648906063982095,2,"6,6",1,"2,0",5,1,14,none,0,0,0,,,,[]
0,3,6,4,SP3,0,0,0,-0.03065091384104057,1,6,3,2,0,1,46,none,0,0,0,1.234,3.0,t,[7.001]
1,2,6,4,SP3,0,0,0,0.08537231072736479,2,"6,8",2,"3,0",2,1,47,none,0,0,0,4.012,1.0,q,[7.001]
4,1,6,3,SP2,1,0,0,-0.01790275886598986,2,"6,6",1,"0,1",5,1,34,none,0,0,0,6.632,2.0,ddd,"[8.812, 2.7, 0.5435000000000001]"
5,1,6,3,SP2,1,0,0,-0.03485280573802708,2,"6,6",1,"1,0",3,1,35,none,0,0,0,7.284,2.0,ddd,"[8.812, 1.709, 0.5435000000000001]"
7,1,7,3,SP2,0,0,0,-0.3228748758826301,2,"6,6",1,"0,0",8,2,40,geminal,0,0,0,,,,[]
10,1,6,4,SP3,0,0,0,0.17734095141223152,3,"6,6,8",1,"0,3,0",3,1,49,none,0,0,0,5.048,1.0,q,[7.334]
11,3,6,4,SP3,0,0,0,-0.018330726362849062,1,6,3,1,1,1,48,none,0,0,0,1.497,3.0,d,[7.334]
15,2,6,4,SP3,0,0,0,0.13912473145665072,2,"6,7",2,"0,0",4,3,45,vicinal,0,0,0,4.963,1.0,,[]
19,3,6,4,SP3,0,0,0,-0.013323944211658972,1,6,3,0,0,4,43,long-range,0,0,0,2.24,3.0,,[]
25,3,6,4,SP3,0,0,0,-0.015513240904863999,1,6,3,0,2,3,44,vicinal,0,0,0,2.42,3.0,,[]
26,1,6,3,SP2,1,0,0,-0.03485280573802708,2,"6,6",1,"0,1",3,1,33,none,0,0,0,7.284,2.0,ddd,"[8.812, 1.709, 0.5435000000000001]"
27,1,6,3,SP2,1,0,0,-0.01790275886598986,2,"6,6",1,"1,0",5,1,32,none,0,0,0,6.632,2.0,ddd,"[8.812, 2.7, 0.5435000000000001]"
2,2,6,4,SP3,1,0,0,0.034177416136176114,2,"6,6",2,"0,2",1,1,33,none,0,0,0,2.707,1.0,ddd,"[17.663, 9.87, 4.19]"
3,2,6,4,SP3,1,0,0,0.007649151487423584,2,"6,6",2,"2,0",1,1,34,none,0,0,0,2.766,1.0,ddd,"[14.292, 4.19, 1.76]"
8,2,6,4,SP3,0,0,0,0.17021635433786664,2,"8,6",2,"0,0",2,3,32,vicinal,0,0,0,4.848,1.0,,[]
12,1,6,4,SP3,1,0,0,0.03226253637658764,3,"7,6,6",1,"0,2,2",7,1,37,none,0,0,0,3.022,1.0,tt,"[8.06, 7.51]"
13,2,6,4,SP3,1,0,0,-0.030594146450306114,2,"6,6",2,"1,2",1,1,35,none,0,0,0,0.646,2.0,tdd,"[8.06, 7.51, 7.1975]"
14,2,6,4,SP3,1,0,0,-0.030594146450306114,2,"6,6",2,"2,1",1,1,35,none,0,0,0,0.646,2.0,tdd,"[8.06, 7.51, 7.1975]"
15,1,6,4,SP3,1,0,0,0.04700700376351884,3,"7,6,6",1,"0,2,2",9,1,41,none,0,0,0,4.061,1.0,dddd,"[9.89, 9.57, 5.25, 4.14]"
16,2,6,4,SP3,1,0,0,-0.017503869718940523,2,"6,6",2,"1,2",3,1,38,none,0,0,0,2.402,1.0,dddd,"[10.547, 6.27, 4.14, 1.5]"
17,2,6,4,SP3,1,0,0,0.05222911832882463,2,"6,16",2,"2,0",3,1,39,none,0,0,0,3.2855,2.0,ddd,"[15.509, 7.390000000000001, 3.885]"
21,2,6,4,SP3,1,0,0,0.07068788675320058,2,"16,6",2,"0,1",5,1,40,none,0,0,0,3.252,2.0,dd,"[15.503, 7.41]"
23,1,7,3,SP2,1,0,0,-0.24661271454799027,2,"7,6",1,"0,0",4,2,30,geminal,0,0,0,,,,[]
1,1,6,3,SP2,0,0,0,0.14954802883036308,2,"8,6",1,"0,0",4,2,7,geminal,0,0,0,9.974,1.0,,[]
3,1,6,3,SP2,1,0,0,-0.05171028990534094,2,"6,6",1,"0,1",4,1,12,none,0,0,0,7.761,2.0,dddd,"[8.2955, 1.633, 1.4485000000000001, 0.452]"
4,1,6,3,SP2,1,0,0,-0.06155603261835479,2,"6,6",1,"1,1",3,1,9,none,0,0,0,7.513,2.0,dddd,"[8.2955, 7.239, 1.295, 0.452]"
5,1,6,3,SP2,1,0,0,-0.06222230142292324,2,"6,6",1,"1,1",2,1,8,none,0,0,0,7.651,1.0,tt,"[7.239, 1.4485000000000001]"
6,1,6,3,SP2,1,0,0,-0.06155603261835479,2,"6,6",1,"1,1",3,1,10,none,0,0,0,7.513,2.0,dddd,"[8.2955, 7.239, 1.295, 0.452]"
7,1,6,3,SP2,1,0,0,-0.05171028990534094,2,"6,6",1,"1,0",4,1,11,none,0,0,0,7.761,2.0,dddd,"[8.2955, 1.633, 1.4485000000000001, 0.452]"
0,3,6,4,SP3,0,0,0,-0.031120457580248423,1,6,3,0,8,2,20,geminal,0,0,0,1.185,3.0,,[]
2,1,8,2,SP3,0,0,0,-0.3849723210129226,1,6,1,0,10,2,16,geminal,0,0,0,,,,[]
3,2,6,4,SP3,0,0,0,0.07426405573835569,2,"6,8",2,"0,1",8,1,22,none,0,0,0,3.426,2.0,,[]
4,1,8,2,SP3,0,0,0,-0.3932874265498062,1,6,1,2,5,1,14,none,0,0,0,,,,[]
5,1,6,4,SP3,0,0,0,0.10856564163894135,3,"6,8,6",1,"0,1,2",7,1,23,none,0,0,0,3.946,1.0,t,[5.611]
6,1,8,2,SP3,0,0,0,-0.3876045553947002,1,6,1,1,8,1,15,none,0,0,0,,,,[]
7,2,6,4,SP3,0,0,0,0.0874525421501732,2,"6,8",2,"1,0",9,1,21,none,0,0,0,4.356,2.0,d,[5.611]
11,1,8,2,SP3,0,0,0,-0.3026281680920719,1,15,1,0,3,2,17,geminal,0,0,0,,,,[]
12,1,8,2,SP3,0,0,0,-0.3026281680920719,1,15,1,0,3,2,17,geminal,0,0,0,,,,[]
0,3,6,4,SP3,0,0,0,0.07751362012550876,1,8,3,0,2,3,35,vicinal,0,0,0,3.897,3.0,,[]
3,1,6,3,SP2,1,0,0,0.02300074684241383,2,"6,6",1,"0,0",5,2,29,geminal,0,0,0,6.205,1.0,d,[1.558]
5,1,8,2,SP2,0,0,0,-0.5069070143661926,1,6,1,0,1,2,25,geminal,0,0,0,,,,[]
9,2,6,4,SP3,0,0,0,0.016450684507784294,2,"6,6",2,"0,2",3,1,37,none,0,0,0,2.301,2.0,t,[7.4]
10,2,6,4,SP3,0,0,0,0.003746462360466214,2,"6,6",2,"2,2",5,1,38,none,0,0,0,2.166,2.0,quint,[7.449999999999999]
11,2,6,4,SP3,0,0,0,0.07748772529728297,2,"6,7",2,"2,1",10,1,41,none,0,0,0,3.099,2.0,t,[7.5]
12,1,7,4,SP3,1,0,1,-0.33491816405057234,3,"6,6,6",1,"2,2,2",8,1,44,none,0,0,0,,,,[]
13,2,6,4,SP3,1,0,0,0.07726653660226956,2,"7,6",2,"1,2",8,1,42,none,0,0,0,3.322,4.0,ddd,"[13.962499999999999, 7.260000000000001, 3.96]"
14,2,6,4,SP3,1,0,0,0.0018151726202688514,2,"6,6",2,"2,2",5,1,39,none,0,0,0,2.06775,4.0,dtdd,"[10.636, 7.385000000000001, 3.87, 3.5]"
15,2,6,4,SP3,1,0,0,0.0018151726202688514,2,"6,6",2,"2,2",5,1,39,none,0,0,0,2.06775,4.0,dtdd,"[10.636, 7.385000000000001, 3.87, 3.5]"
16,2,6,4,SP3,1,0,0,0.07726653660226956,2,"6,7",2,"2,1",8,1,42,none,0,0,0,3.322,4.0,ddd,"[13.962499999999999, 7.260000000000001, 3.96]"
19,3,6,4,SP3,0,0,0,0.07755034354926943,1,8,3,0,1,3,36,vicinal,0,0,0,3.889,3.0,,[]
20,1,6,3,SP2,1,0,0,0.023245155907534662,2,"6,6",1,"0,0",7,2,30,geminal,0,0,0,6.219,1.0,d,[1.558]
0,3,6,4,SP3,0,0,0,0.06829479173900488,1,7,3,0,7,2,23,geminal,0,0,0,3.063,3.0,,[]
3,2,6,4,SP3,1,0,0,0.07885312980334941,2,"7,6",2,"0,2",6,1,24,none,0,0,0,3.108,2.0,ddd,"[13.598, 7.335000000000001, 3.455]"
4,2,6,4,SP3,1,0,0,0.0028520851366637587,2,"6,6",2,"2,2",4,1,21,none,0,0,0,2.032,2.0,dtdd,"[11.329, 7.430000000000001, 3.485, 3.365]"
5,2,6,4,SP3,1,0,0,0.009626174943981235,2,"6,6",2,"2,1",7,1,22,none,0,0,0,2.1345,2.0,dddd,"[11.748, 7.405, 7.275, 3.515]"
6,1,6,4,SP3,1,0,0,0.11586686891137933,3,"6,6,7",1,"2,0,0",10,1,25,none,0,0,0,5.584,1.0,dd,"[7.44, 7.11]"
8,1,6,3,SP2,1,0,0,0.035895861293351566,2,"6,7",1,"0,0",6,2,17,geminal,0,0,0,8.52,1.0,td,"[1.92, 0.543]"
10,1,6,3,SP2,1,0,0,0.026759566824780135,2,"7,6",1,"0,1",2,1,16,none,0,0,0,8.482,1.0,dt,"[4.672, 1.891]"
11,1,6,3,SP2,1,0,0,-0.04331257124070103,2,"6,6",1,"1,1",2,1,18,none,0,0,0,7.376,1.0,ddd,"[7.482, 4.672, 0.543]"
12,1,6,3,SP2,1,0,0,-0.05000079862517009,2,"6,6",1,"1,0",5,1,19,none,0,0,0,7.805,1.0,dt,"[7.482, 1.904]"
0,3,6,4,SP3,0,0,0,-0.030522463674179733,1,6,3,2,0,1,48,none,0,0,0,1.193,3.0,t,[7.108]
1,2,6,4,SP3,0,0,0,0.08882258487017691,2,"6,8",2,"3,0",0,1,53,none,0,0,0,4.171,2.0,q,[7.108]
7,1,7,3,SP2,0,0,0,-0.32367217547278865,2,"6,6",1,"0,0",3,2,45,geminal,0,0,0,,,,[]
10,1,7,3,SP2,0,0,0,-0.33870308429216794,2,"6,6",1,"0,1",2,1,47,none,0,0,0,,,,[]
11,1,6,4,SP3,0,0,0,0.14881056166660347,3,"7,7,6",1,"1,1,0",1,1,54,none,0,0,0,5.079,1.0,,[]
12,1,7,3,SP2,0,0,0,-0.33181086112601593,2,"6,6",1,"1,0",10,1,46,none,0,0,0,,,,[]
16,3,6,4,SP3,0,0,0,-0.0513151832026828,1,6,3,0,7,2,49,geminal,0,0,0,1.243,9.0,,[]
17,3,6,4,SP3,0,0,0,-0.0513151832026828,1,6,3,0,7,2,49,geminal,0,0,0,1.243,9.0,,[]
18,3,6,4,SP3,0,0,0,-0.0513151832026828,1,6,3,0,7,2,49,geminal,0,0,0,1.243,9.0,,[]
24,1,6,3,SP2,1,0,0,0.0016243204546458104,2,"16,6",1,"0,0",3,3,35,vicinal,0,0,0,7.323,1.0,,[]
27,1,6,3,SP2,1,0,0,-0.054326065181418304,2,"6,6",1,"0,1",4,1,40,none,0,0,0,7.571,2.0,dddd,"[7.839, 1.8235000000000001, 1.157, 0.444]"
28,1,6,3,SP2,1,0,0,-0.061650068326442674,2,"6,6",1,"1,1",2,1,37,none,0,0,0,7.405,2.0,dddd,"[7.839, 7.173, 1.393, 0.444]"
29,1,6,3,SP2,1,0,0,-0.06222538165897411,2,"6,6",1,"1,1",2,1,36,none,0,0,0,7.346,1.0,tdd,"[7.173, 1.954, 1.693]"
30,1,6,3,SP2,1,0,0,-0.061650068326442674,2,"6,6",1,"1,1",2,1,38,none,0,0,0,7.405,2.0,dddd,"[7.839, 7.173, 1.393, 0.444]"
31,1,6,3,SP2,1,0,0,-0.054326065181418304,2,"6,6",1,"1,0",4,1,39,none,0,0,0,7.571,2.0,dddd,"[7.839, 1.8235000000000001, 1.157, 0.444]"
0,3,6,4,SP3,0,0,0,-0.06370466544276061,1,6,3,2,3,1,36,none,0,0,0,0.8770000000000001,3.0,t,[7.0]
1,2,6,4,SP3,0,0,0,-0.03855423794678739,2,"6,6",2,"3,2",1,1,38,none,0,0,0,1.595,1.0,tq,"[7.366, 7.0]"
2,2,6,4,SP3,0,0,0,0.01720272124824072,2,"6,7",2,"2,1",5,1,37,none,0,0,0,3.127,1.0,t,[7.366]
3,1,7,3,SP2,0,0,0,-0.3531509258363595,2,"6,6",1,"2,0",7,1,32,none,0,0,0,,,,[]
6,2,6,4,SP3,0,0,0,0.16957810037318088,2,"6,8",2,"0,0",4,2,34,geminal,0,0,0,4.808,1.0,,[]
10,1,6,4,SP3,1,0,0,0.08319769541711715,3,"6,6,6",1,"0,2,2",4,1,41,none,0,0,0,3.661,1.0,tt,"[6.835, 1.6949999999999998]"
11,2,6,4,SP3,1,0,0,0.04176324000039425,2,"6,6",2,"1,0",4,1,39,none,0,0,0,2.798,1.0,dd,"[18.17, 6.85]"
15,2,6,4,SP3,0,0,0,0.07869556352007719,2,"7,6",2,"0,0",8,2,35,geminal,0,0,0,4.619,1.0,,[]
17,1,6,3,SP2,1,0,0,-0.018715672686053657,2,"6,6",1,"0,1",3,1,30,none,0,0,0,6.17,1.0,dd,"[3.397, 1.105]"
18,1,6,3,SP2,1,0,0,-0.02347715057666028,2,"6,6",1,"1,1",2,1,29,none,0,0,0,6.19,1.0,dd,"[3.397, 1.753]"
19,1,6,3,SP2,1,0,0,0.09073276830827778,2,"6,8",1,"1,0",3,1,28,none,0,0,0,7.36,1.0,dd,"[1.753, 1.105]"
21,2,6,4,SP3,1,0,0,0.03483939989567495,2,"7,6",2,"0,1",4,1,40,none,0,0,0,3.681,1.0,dd,"[14.38, 6.82]"
0,3,6,4,SP3,0,0,0,-0.030522482709124072,1,6,3,2,0,1,53,none,0,0,0,1.325,1.0,t,[7.109]
1,2,6,4,SP3,0,0,0,0.08882030178814143,2,"6,8",2,"3,0",0,1,57,none,0,0,0,4.14,2.0,q,[7.108999999999999]
6,1,6,3,SP2,1,0,0,-0.03295687568308298,2,"6,6",1,"0,0",2,2,41,geminal,0,0,0,8.446,1.0,t,[1.917]
11,2,6,4,SP3,0,0,0,0.08882030178814143,2,"8,6",2,"0,3",0,1,58,none,0,0,0,4.14,2.0,q,[7.108999999999999]
12,3,6,4,SP3,0,0,0,-0.030522482709124072,1,6,3,2,0,1,54,none,0,0,0,1.325,3.0,t,[7.108999999999999]
13,1,6,3,SP2,1,0,0,-0.023915792087005068,2,"6,6",1,"0,0",3,2,42,geminal,0,0,0,7.609,1.0,t,[1.877]
15,1,7,3,SP2,0,0,0,-0.3249338890124499,2,"6,6",1,"0,0",5,2,47,geminal,0,0,0,,,,[]
18,2,6,4,SP3,0,0,0,0.07561890643071557,2,"6,7",2,"0,1",3,1,52,none,0,0,0,3.794,2.0,,[]
19,1,7,3,SP3,0,0,0,-0.307822587412195,2,"6,6",1,"2,2",9,1,49,none,0,0,0,,,,[]
20,2,6,4,SP3,0,0,0,0.0019687593783467884,2,"7,6",2,"1,0",10,1,60,none,0,0,0,2.707,2.0,,[]
22,3,6,4,SP3,0,0,0,-0.057462000650419814,1,6,3,0,8,2,55,geminal,0,0,0,0.904,3.0,,[]
23,3,6,4,SP3,0,0,0,-0.057462000650419814,1,6,3,0,8,2,55,geminal,0,0,0,0.904,3.0,,[]
24,2,6,4,SP3,0,0,0,0.003873167069992179,2,"6,7",2,"0,0",15,2,59,geminal,0,0,0,2.41,2.0,,[]
26,3,6,4,SP3,0,0,0,-0.013671775081113672,1,7,3,0,5,2,50,geminal,0,0,0,2.449,6.0,,[]
27,3,6,4,SP3,0,0,0,-0.013671775081113672,1,7,3,0,5,2,50,geminal,0,0,0,2.449,6.0,,[]
28,1,6,3,SP2,1,0,0,-0.023915792087005068,2,"6,6",1,"0,0",3,2,43,geminal,0,0,0,7.608,1.0,t,[1.877]
2,1,8,2,SP2,0,0,0,-0.4775399077499754,1,6,1,0,1,3,7,vicinal,0,0,0,,,,[]
4,1,6,3,SP2,1,0,0,-0.04390447977759086,2,"6,6",1,"0,1",4,1,13,none,0,0,0,7.939,1.0,ddd,"[8.073, 1.424, 0.473]"
5,1,6,3,SP2,1,0,0,-0.061135665577728066,2,"6,6",1,"1,1",1,1,11,none,0,0,0,7.256,1.0,ddd,"[8.073, 7.35, 1.234]"
6,1,6,3,SP2,1,0,0,-0.058540393033453014,2,"6,6",1,"1,1",2,1,10,none,0,0,0,7.515,1.0,ddd,"[8.324, 7.35, 1.424]"
7,1,6,3,SP2,1,0,0,-0.019318300389080136,2,"6,6",1,"1,0",3,1,12,none,0,0,0,7.051,1.0,ddd,"[8.324, 1.234, 0.473]"
9,1,8,2,SP2,0,0,0,-0.507052890945198,1,6,1,0,3,2,8,geminal,0,0,0,,,,[]
0,2,6,3,SP2,0,0,0,-0.07325854475980406,1,6,2,0,4,2,27,geminal,0,0,0,5.429,1.0,d,[1.585]
2,1,7,3,SP2,0,0,0,-0.2982916584295232,2,"6,7",1,"0,1",4,1,38,none,0,0,0,,,,[]
3,1,7,3,SP2,0,0,0,-0.26433165860565555,2,"7,6",1,"1,0",2,1,37,none,0,0,0,,,,[]
8,2,6,4,SP3,0,0,0,0.09107359433688027,2,"6,8",2,"0,0",3,2,40,geminal,0,0,0,4.791,2.0,,[]
10,3,6,4,SP3,0,0,0,0.03599633587253802,1,8,3,0,2,2,39,geminal,0,0,0,3.265,3.0,,[]
17,2,7,3,SP2,0,0,0,-0.3776213181593701,1,6,2,0,0,5,35,long-range,0,0,0,,,,[]
21,1,6,3,SP2,1,0,0,-0.03442382413552197,2,"6,6",1,"0,1",5,1,30,none,0,0,0,7.558,2.0,ddd,"[4.601, 2.465, 0.47]"
22,1,6,3,SP2,1,0,0,0.027403344025996132,2,"6,7",1,"1,0",2,1,24,none,0,0,0,8.584,2.0,ddd,"[4.601, 1.881, 0.47]"
24,1,6,3,SP2,1,0,0,0.027403344025996132,2,"7,6",1,"0,1",2,1,28,none,0,0,0,8.584,2.0,ddd,"[4.601, 1.881, 0.47]"
25,1,6,3,SP2,1,0,0,-0.03442382413552197,2,"6,6",1,"1,0",5,1,29,none,0,0,0,7.558,2.0,ddd,"[4.601, 2.465, 0.47]"
0,3,6,4,SP3,0,0,0,-0.030522670674103837,1,6,3,2,0,1,24,none,0,0,0,1.199,3.0,t,[7.108]
1,2,6,4,SP3,0,0,0,0.08881082478367289,2,"6,8",2,"3,0",0,1,26,none,0,0,0,4.269,2.0,q,[7.108]
7,3,6,4,SP3,0,0,0,-0.023743060563488034,1,6,3,0,2,2,23,geminal,0,0,0,2.458,3.0,,[]
8,1,7,3,SP2,1,0,0,-0.33608001430844775,2,"6,6",1,"0,0",5,2,21,geminal,0,0,0,,,,[]
11,1,7,3,SP2,1,0,0,-0.35558713945604664,2,"6,6",1,"0,1",4,1,22,none,0,0,0,,,,[]
12,1,6,4,SP3,1,0,0,0.05961060152346313,3,"7,6,6",1,"1,3,0",4,1,27,none,0,0,0,4.213,1.0,q,[6.628]
13,3,6,4,SP3,0,0,0,-0.04016230221235813,1,6,3,1,1,1,25,none,0,0,0,1.302,3.0,d,[6.628]
